rubric,graph_type,model,prompt_type,verdict
Code validity & reproducibility,Bars,gemini,baseline,YES
Code validity & reproducibility,Bars,gemini,selfcheck,YES
Code validity & reproducibility,Bars,gemini,standards,YES
Encoding choice matches task,Bars,gemini,baseline,YES
Encoding choice matches task,Bars,gemini,selfcheck,YES
Encoding choice matches task,Bars,gemini,standards,YES
Chart type suitability,Bars,gemini,baseline,YES
Chart type suitability,Bars,gemini,selfcheck,YES
Chart type suitability,Bars,gemini,standards,YES
Axis integrity,Bars,gemini,baseline,YES
Axis integrity,Bars,gemini,selfcheck,YES
Axis integrity,Bars,gemini,standards,YES
Scale consistency across panels,Bars,gemini,baseline,NO
Scale consistency across panels,Bars,gemini,selfcheck,YES
Scale consistency across panels,Bars,gemini,standards,YES
Color contrast & colorblind safety,Bars,gemini,baseline,YES
Color contrast & colorblind safety,Bars,gemini,selfcheck,YES
Color contrast & colorblind safety,Bars,gemini,standards,YES
Redundancy,Bars,gemini,baseline,YES
Redundancy,Bars,gemini,selfcheck,YES
Redundancy,Bars,gemini,standards,YES
Data faithfulness,Bars,gemini,baseline,YES
Data faithfulness,Bars,gemini,selfcheck,YES
Data faithfulness,Bars,gemini,standards,YES
"Labels, units, titles & legends",Bars,gemini,baseline,YES
"Labels, units, titles & legends",Bars,gemini,selfcheck,YES
"Labels, units, titles & legends",Bars,gemini,standards,YES
Gridlines/ticks & sizing,Bars,gemini,baseline,YES
Gridlines/ticks & sizing,Bars,gemini,selfcheck,YES
Gridlines/ticks & sizing,Bars,gemini,standards,YES
Appropriate Data‑ink ratio,Bars,gemini,baseline,YES
Appropriate Data‑ink ratio,Bars,gemini,selfcheck,NO
Appropriate Data‑ink ratio,Bars,gemini,standards,NO
Legend–encoding alignment,Bars,gemini,baseline,
Legend–encoding alignment,Bars,gemini,selfcheck,
Legend–encoding alignment,Bars,gemini,standards,
Task intent adherence,Bars,gemini,baseline,YES
Task intent adherence,Bars,gemini,selfcheck,YES
Task intent adherence,Bars,gemini,standards,YES
Holistic readability,Bars,gemini,baseline,YES
Holistic readability,Bars,gemini,selfcheck,YES
Holistic readability,Bars,gemini,standards,YES
Code validity & reproducibility,Bars,grok,baseline,YES
Code validity & reproducibility,Bars,grok,selfcheck,YES
Code validity & reproducibility,Bars,grok,standards,YES
Encoding choice matches task,Bars,grok,baseline,YES
Encoding choice matches task,Bars,grok,selfcheck,YES
Encoding choice matches task,Bars,grok,standards,YES
Chart type suitability,Bars,grok,baseline,YES
Chart type suitability,Bars,grok,selfcheck,YES
Chart type suitability,Bars,grok,standards,YES
Axis integrity,Bars,grok,baseline,YES
Axis integrity,Bars,grok,selfcheck,YES
Axis integrity,Bars,grok,standards,YES
Scale consistency across panels,Bars,grok,baseline,NO
Scale consistency across panels,Bars,grok,selfcheck,NO
Scale consistency across panels,Bars,grok,standards,YES
Color contrast & colorblind safety,Bars,grok,baseline,YES
Color contrast & colorblind safety,Bars,grok,selfcheck,YES
Color contrast & colorblind safety,Bars,grok,standards,YES
Redundancy,Bars,grok,baseline,YES
Redundancy,Bars,grok,selfcheck,YES
Redundancy,Bars,grok,standards,YES
