rater,task,model,prompt_style,rubric,score
1,Bars,ChatGPT 5 Thinking,baseline,Aligned scales,no
1,Bars,ChatGPT 5 Thinking,selfcheck,Aligned scales,yes
1,Bars,ChatGPT 5 Thinking,standards,Aligned scales,yes
1,Bars,ChatGPT 5 Thinking,baseline,Appropriate visual encoding,yes
1,Bars,ChatGPT 5 Thinking,selfcheck,Appropriate visual encoding,yes
1,Bars,ChatGPT 5 Thinking,standards,Appropriate visual encoding,yes
1,Bars,ChatGPT 5 Thinking,baseline,Axis integrity,yes
1,Bars,ChatGPT 5 Thinking,selfcheck,Axis integrity,yes
1,Bars,ChatGPT 5 Thinking,standards,Axis integrity,yes
1,Bars,ChatGPT 5 Thinking,baseline,Chart type suitability,yes
1,Bars,ChatGPT 5 Thinking,selfcheck,Chart type suitability,yes
1,Bars,ChatGPT 5 Thinking,standards,Chart type suitability,yes
1,Bars,ChatGPT 5 Thinking,baseline,Code reproducibility,yes
1,Bars,ChatGPT 5 Thinking,selfcheck,Code reproducibility,yes
1,Bars,ChatGPT 5 Thinking,standards,Code reproducibility,yes
1,Bars,ChatGPT 5 Thinking,baseline,Color redundancy,yes
1,Bars,ChatGPT 5 Thinking,selfcheck,Color redundancy,yes
1,Bars,ChatGPT 5 Thinking,standards,Color redundancy,yes
1,Bars,ChatGPT 5 Thinking,baseline,Colorblind safety,yes
1,Bars,ChatGPT 5 Thinking,selfcheck,Colorblind safety,yes
1,Bars,ChatGPT 5 Thinking,standards,Colorblind safety,yes
1,Bars,ChatGPT 5 Thinking,baseline,Data faithfulness,yes
1,Bars,ChatGPT 5 Thinking,selfcheck,Data faithfulness,yes
1,Bars,ChatGPT 5 Thinking,standards,Data faithfulness,yes
1,Bars,ChatGPT 5 Thinking,baseline,Efficiency,no
1,Bars,ChatGPT 5 Thinking,selfcheck,Efficiency,no
1,Bars,ChatGPT 5 Thinking,standards,Efficiency,no
1,Bars,ChatGPT 5 Thinking,baseline,Holistic interpretation,yes
1,Bars,ChatGPT 5 Thinking,selfcheck,Holistic interpretation,yes
1,Bars,ChatGPT 5 Thinking,standards,Holistic interpretation,yes
1,Bars,ChatGPT 5 Thinking,baseline,Legend–encoding alignment,N/A
1,Bars,ChatGPT 5 Thinking,selfcheck,Legend–encoding alignment,N/A
1,Bars,ChatGPT 5 Thinking,standards,Legend–encoding alignment,N/A
1,Bars,ChatGPT 5 Thinking,baseline,Legibility,yes
